TABLE_NAME,STATE_CODE,DISTRICT_CODE,TOWN_CODE,AREA_NAME,MOTHER_TONGUE_CODE,MOTHER_TONGUE_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M, RURAL_F,URBAN_P,URBAN_M, URBAN_F
C0116,28,000,000000,ANDHRA PRADESH,040000,40 ENGLISH ,10985,5498,5487,0,0,0,10985,5498,5487
C0116,28,000,000000,ANDHRA PRADESH,040001, English,10985,5498,5487,0,0,0,10985,5498,5487
C0116,28,000,000000,ANDHRA PRADESH,041000,41 GADABA ,58,37,21,0,0,0,58,37,21
C0116,28,000,000000,ANDHRA PRADESH,041001, Gadaba,54,35,19,0,0,0,54,35,19
C0116,28,000,000000,ANDHRA PRADESH,041999,41 Others,4,2,2,0,0,0,4,2,2
C0116,28,000,000000,ANDHRA PRADESH,043000,43 GARO ,24,14,10,0,0,0,24,14,10
C0116,28,000,000000,ANDHRA PRADESH,043005, Garo,24,14,10,0,0,0,24,14,10
C0116,28,000,000000,ANDHRA PRADESH,044000,44 GONDI,8938,4097,4841,0,0,0,8938,4097,4841
C0116,28,000,000000,ANDHRA PRADESH,044007, Gondi,7715,3500,4215,0,0,0,7715,3500,4215
C0116,28,000,000000,ANDHRA PRADESH,044013, Kalari,4,2,2,0,0,0,4,2,2
C0116,28,000,000000,ANDHRA PRADESH,044017, Maria/ Muria,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,044999,44 Others,1217,594,623,0,0,0,1217,594,623
C0116,28,000,000000,ANDHRA PRADESH,045000,45 HALABI,4,2,2,0,0,0,4,2,2
C0116,28,000,000000,ANDHRA PRADESH,045999,45 Others,4,2,2,0,0,0,4,2,2
C0116,28,000,000000,ANDHRA PRADESH,046000,46 HALAM ,6,3,3,0,0,0,6,3,3
C0116,28,000,000000,ANDHRA PRADESH,046003, Halam,3,2,1,0,0,0,3,2,1
C0116,28,000,000000,ANDHRA PRADESH,046999,46 Others,3,1,2,0,0,0,3,1,2
C0116,28,000,000000,ANDHRA PRADESH,047000,47 HMAR,16,8,8,0,0,0,16,8,8
C0116,28,000,000000,ANDHRA PRADESH,047001, Hmar,16,8,8,0,0,0,16,8,8
C0116,28,000,000000,ANDHRA PRADESH,048000,48 HO,12,8,4,0,0,0,12,8,4
C0116,28,000,000000,ANDHRA PRADESH,048004, Ho,12,8,4,0,0,0,12,8,4
C0116,28,000,000000,ANDHRA PRADESH,049000,49 JATAPU ,50,26,24,0,0,0,50,26,24
C0116,28,000,000000,ANDHRA PRADESH,049002, Jatapu,50,26,24,0,0,0,50,26,24
C0116,28,000,000000,ANDHRA PRADESH,051000,51 KABUI ,29,7,22,0,0,0,29,7,22
